type,mass_drivers_online,area_m2,system
infrastructure,3503.0,,
infrastructure,3610.0,,
infrastructure,3718.0,,
infrastructure,3826.0,,
infrastructure,3933.0,,
infrastructure,4041.0,,
infrastructure,4148.0,,
infrastructure,4256.0,,
infrastructure,4364.0,,
infrastructure,4471.0,,
infrastructure,4579.0,,
infrastructure,4686.0,,
infrastructure,4794.0,,
infrastructure,4902.0,,
infrastructure,5065.0,,
infrastructure,5237.0,,
infrastructure,5409.0,,
launch,,145598265.8294843,mercury_mass_driver
infrastructure,5581.0,,
launch,,145613767.07517236,mercury_mass_driver
launch,,145629262.47243696,mercury_mass_driver
launch,,145644752.0263111,mercury_mass_driver
launch,,145660235.74182105,mercury_mass_driver
launch,,145675713.6239862,mercury_mass_driver
launch,,145691185.67781943,mercury_mass_driver
launch,,145706651.9083267,mercury_mass_driver
infrastructure,5753.0,,
launch,,145722112.32050726,mercury_mass_driver
launch,,145737566.9193538,mercury_mass_driver
launch,,145753015.70985225,mercury_mass_driver
launch,,145768458.6969818,mercury_mass_driver
launch,,145783895.88571507,mercury_mass_driver
launch,,145799327.28101796,mercury_mass_driver
launch,,145814752.8878498,mercury_mass_driver
infrastructure,5925.0,,
launch,,145830172.71116322,mercury_mass_driver
launch,,145845586.75590435,mercury_mass_driver
launch,,145860995.02701256,mercury_mass_driver
launch,,145876397.52942073,mercury_mass_driver
launch,,145891794.26805514,mercury_mass_driver
launch,,145907185.24783555,mercury_mass_driver
launch,,145922570.47367504,mercury_mass_driver
infrastructure,6098.0,,
launch,,145937949.95048025,mercury_mass_driver
launch,,145953323.6831513,mercury_mass_driver
launch,,145968691.6765817,mercury_mass_driver
launch,,145984053.9356585,mercury_mass_driver
launch,,145999410.46526232,mercury_mass_driver
launch,,146014761.27026716,mercury_mass_driver
launch,,146030106.35554066,mercury_mass_driver
infrastructure,6270.0,,
launch,,146045445.72594398,mercury_mass_driver
launch,,146060779.38633177,mercury_mass_driver
launch,,146076107.34155232,mercury_mass_driver
launch,,146091429.5964474,mercury_mass_driver
launch,,146106746.15585247,mercury_mass_driver
launch,,146122057.02459654,mercury_mass_driver
launch,,146137362.2075022,mercury_mass_driver
infrastructure,6442.0,,
launch,,146152661.7093857,mercury_mass_driver
launch,,146167955.53505692,mercury_mass_driver
launch,,146183243.68931937,mercury_mass_driver
launch,,146198526.17697015,mercury_mass_driver
launch,,146213803.0028002,mercury_mass_driver
launch,,146229074.17159396,mercury_mass_driver
launch,,146244339.68812966,mercury_mass_driver
infrastructure,6614.0,,
launch,,146259599.5571792,mercury_mass_driver
launch,,146274853.78350815,mercury_mass_driver
launch,,146290102.37187582,mercury_mass_driver
launch,,146305345.32703537,mercury_mass_driver
launch,,146320582.65373352,mercury_mass_driver
launch,,146335814.35671088,mercury_mass_driver
launch,,146351040.44070178,mercury_mass_driver
infrastructure,6786.0,,
launch,,146366260.91043434,mercury_mass_driver
launch,,146381475.77063042,mercury_mass_driver
launch,,146396685.0260057,mercury_mass_driver
