day,phase,pv_m2,structure_kg,launched_m2,cum_area_m2,optical_depth,power_GW_1AU_equiv,mass_drivers_online,energy_kWh,resource_remaining_kg,used_mass_kg_day,transport_MW_used,transport_MWh,band_0_area_m2,band_1_area_m2,band_2_area_m2,band_0_od,band_1_od,band_2_od
23,0,18511.188382851753,55533.56514855525,0.0,0.0,0.0,0.0,0,324209.9053749221,1.5425034164181345e+18,58310.24340598301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,18678.1831356708,56034.5494070124,0.0,0.0,0.0,0.0,0,327134.69614955044,1.542503416418076e+18,58836.276877363016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,18840.046219691823,56520.13865907547,0.0,0.0,0.0,0.0,0,329969.6095040471,1.5425034164180165e+18,59346.14559202924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,18997.123910483933,56991.3717314518,0.0,0.0,0.0,0.0,0,332720.7102013636,1.5425034164179566e+18,59840.94031802439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,19149.72731871224,57449.18195613673,0.0,0.0,0.0,0.0,0,335393.44711691595,1.5425034164178962e+18,60321.64105394357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,19298.137075219573,57894.41122565872,0.0,0.0,0.0,0.0,0,337992.7352943584,1.5425034164178355e+18,60789.13178694165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,19442.607253558184,58327.82176067456,0.0,0.0,0.0,0.0,0,340523.0246458541,1.5425034164177743e+18,61244.21284870829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,19583.368675124264,58750.10602537279,0.0,0.0,0.0,0.0,0,342988.357839084,1.5425034164177126e+18,61687.61132664143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,19720.631710667793,59161.89513200338,0.0,0.0,0.0,0.0,0,345392.4193636412,1.5425034164176504e+18,62119.98988860355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,19854.588668114713,59563.76600434414,0.0,0.0,0.0,0.0,0,347738.57735198573,1.542503416417588e+18,62541.954304561346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,19985.41583836188,59956.24751508564,0.0,0.0,0.0,0.0,0,350029.91941004584,1.542503416417525e+18,62954.059890839926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
